R2,MAE,RMSE,MAPE,n,model,target,horizon,infra,n_train
-0.0424,92.7243,132.3009,19.56,7818,LinearRegression,Measured CO2,6h,Brick First Floor,118970
0.1427,111.5746,216.4189,19.14,12787,LinearRegression,Measured CO2,6h,Brick Second Floor,118970
0.1594,93.4699,157.0218,17.81,16452,LinearRegression,Measured CO2,6h,Brick Single Story,118970
0.3424,172.6965,285.2643,26.43,16041,LinearRegression,Measured CO2,6h,Container No Insulation,118970
0.0204,143.4469,223.3137,25.76,4821,LinearRegression,Measured CO2,6h,Container With Insulation,118970
0.0667,98.6776,137.0865,20.29,12690,LinearRegression,Measured CO2,6h,Mobile/Prefab,118970
0.8369,1.0925,2.382,31.49,83074,LinearRegression,Measured PM2.5,11min,ALL,119252
0.9021,1.2284,2.044,29.57,8081,LinearRegression,Measured PM2.5,11min,Brick First Floor,119252
0.6501,1.3336,3.9795,31.87,13011,LinearRegression,Measured PM2.5,11min,Brick Second Floor,119252
0.9083,1.0708,1.6873,30.18,16741,LinearRegression,Measured PM2.5,11min,Brick Single Story,119252
0.8187,1.1288,2.6651,28.68,16396,LinearRegression,Measured PM2.5,11min,Container No Insulation,119252
0.8974,1.0101,1.7314,29.08,7683,LinearRegression,Measured PM2.5,11min,Container With Insulation,119252
0.909,0.9114,1.4483,37.24,21162,LinearRegression,Measured PM2.5,11min,Mobile/Prefab,119252
0.7607,1.3855,2.8841,38.96,82994,LinearRegression,Measured PM2.5,33min,ALL,119246
0.8225,1.626,2.7542,38.39,8067,LinearRegression,Measured PM2.5,33min,Brick First Floor,119246
0.5557,1.6785,4.4865,40.6,12997,LinearRegression,Measured PM2.5,33min,Brick Second Floor,119246
0.8389,1.3932,2.2371,38.83,16725,LinearRegression,Measured PM2.5,33min,Brick Single Story,119246
0.7327,1.3859,3.2337,33.68,16380,LinearRegression,Measured PM2.5,33min,Container No Insulation,119246
0.8238,1.2799,2.2574,34.48,7675,LinearRegression,Measured PM2.5,33min,Container With Insulation,119246
0.8492,1.1457,1.8631,45.38,21150,LinearRegression,Measured PM2.5,33min,Mobile/Prefab,119246
0.6597,1.8042,3.4399,51.46,82872,LinearRegression,Measured PM2.5,1h,ALL,119237
0.7218,2.1504,3.4516,50.75,8046,LinearRegression,Measured PM2.5,1h,Brick First Floor,119237
0.4767,2.1358,4.8721,54.06,12976,LinearRegression,Measured PM2.5,1h,Brick Second Floor,119237
0.7323,1.8395,2.8857,51.97,16701,LinearRegression,Measured PM2.5,1h,Brick Single Story,119237
0.6092,1.7468,3.9107,42.28,16356,LinearRegression,Measured PM2.5,1h,Container No Insulation,119237
0.7035,1.6845,2.9295,45.69,7663,LinearRegression,Measured PM2.5,1h,Container With Insulation,119237
0.7486,1.5287,2.4002,61.02,21130,LinearRegression,Measured PM2.5,1h,Mobile/Prefab,119237
0.3692,2.8772,4.6895,86.76,82464,LinearRegression,Measured PM2.5,3h,ALL,119207
0.3885,3.4967,5.139,85.29,7976,LinearRegression,Measured PM2.5,3h,Brick First Floor,119207
0.2681,3.2747,5.762,90.67,12906,LinearRegression,Measured PM2.5,3h,Brick Second Floor,119207
0.383,2.9825,4.3874,87.04,16621,LinearRegression,Measured PM2.5,3h,Brick Single Story,119207
0.3349,2.6792,5.1102,69.47,16276,LinearRegression,Measured PM2.5,3h,Container No Insulation,119207
0.3561,2.6943,4.3235,74.9,7623,LinearRegression,Measured PM2.5,3h,Container With Insulation,119207
0.4068,2.5353,3.6909,106.66,21062,LinearRegression,Measured PM2.5,3h,Mobile/Prefab,119207
0.0596,3.8398,5.7427,119.68,81771,LinearRegression,Measured PM2.5,6h,ALL,119172
0.0808,4.5188,6.3409,113.64,7857,LinearRegression,Measured PM2.5,6h,Brick First Floor,119172
0.0443,4.3511,6.6079,122.78,12787,LinearRegression,Measured PM2.5,6h,Brick Second Floor,119172
-0.0116,4.0082,5.6206,118.07,16485,LinearRegression,Measured PM2.5,6h,Brick Single Story,119172
0.1094,3.4341,5.9353,93.26,16140,LinearRegression,Measured PM2.5,6h,Container No Insulation,119172
-0.0233,3.5633,5.4669,103.51,7555,LinearRegression,Measured PM2.5,6h,Container With Insulation,119172
-0.0505,3.5526,4.9213,154.87,20947,LinearRegression,Measured PM2.5,6h,Mobile/Prefab,119172
0.8058,1.265,2.8384,35.39,83074,LinearRegression,Measured PM10,11min,ALL,119252
0.8905,1.3817,2.3063,33.43,8081,LinearRegression,Measured PM10,11min,Brick First Floor,119252
0.5609,1.6795,5.1378,38.61,13011,LinearRegression,Measured PM10,11min,Brick Second Floor,119252
0.9,1.1928,1.8651,33.24,16741,LinearRegression,Measured PM10,11min,Brick Single Story,119252
0.8276,1.2827,2.838,31.46,16396,LinearRegression,Measured PM10,11min,Container No Insulation,119252
0.8838,1.1283,1.988,31.44,7683,LinearRegression,Measured PM10,11min,Container With Insulation,119252
0.8917,1.0586,1.7142,41.48,21162,LinearRegression,Measured PM10,11min,Mobile/Prefab,119252
0.7283,1.5541,3.3556,42.42,82994,LinearRegression,Measured PM10,33min,ALL,119246
0.8094,1.7789,3.0453,42.2,8067,LinearRegression,Measured PM10,33min,Brick First Floor,119246
0.4682,2.0465,5.657,48.03,12997,LinearRegression,Measured PM10,33min,Brick Second Floor,119246
0.8273,1.5294,2.4521,42.37,16725,LinearRegression,Measured PM10,33min,Brick Single Story,119246
0.738,1.5329,3.4946,35.98,16380,LinearRegression,Measured PM10,33min,Container No Insulation,119246
0.8157,1.3801,2.4848,36.11,7675,LinearRegression,Measured PM10,33min,Container With Insulation,119246
0.8328,1.265,2.1281,47.44,21150,LinearRegression,Measured PM10,33min,Mobile/Prefab,119246
0.6291,1.972,3.9204,54.19,82872,LinearRegression,Measured PM10,1h,ALL,119237
0.7059,2.3231,3.7869,54.88,8046,LinearRegression,Measured PM10,1h,Brick First Floor,119237
0.3984,2.5173,6.0208,61.66,12976,LinearRegression,Measured PM10,1h,Brick Second Floor,119237
0.717,1.9947,3.1406,55.72,16701,LinearRegression,Measured PM10,1h,Brick Single Story,119237
0.6126,1.8857,4.2503,43.88,16356,LinearRegression,Measured PM10,1h,Container No Insulation,119237
0.6931,1.7914,3.2078,46.88,7663,LinearRegression,Measured PM10,1h,Container With Insulation,119237
0.7387,1.6176,2.6543,60.1,21130,LinearRegression,Measured PM10,1h,Mobile/Prefab,119237
0.3453,3.0977,5.2129,90.33,82464,LinearRegression,Measured PM10,3h,ALL,119207
0.3664,3.7379,5.5813,90.7,7976,LinearRegression,Measured PM10,3h,Brick First Floor,119207
0.2129,3.6938,6.8736,98.42,12906,LinearRegression,Measured PM10,3h,Brick Second Floor,119207
0.3626,3.1898,4.7211,91.82,16621,LinearRegression,Measured PM10,3h,Brick Single Story,119207
0.3302,2.8714,5.5982,71.67,16276,LinearRegression,Measured PM10,3h,Container No Insulation,119207
0.3504,2.852,4.6733,77.48,7623,LinearRegression,Measured PM10,3h,Container With Insulation,119207
0.4098,2.6812,3.9918,106.48,21062,LinearRegression,Measured PM10,3h,Mobile/Prefab,119207
0.0457,4.1462,6.3121,126.54,81771,LinearRegression,Measured PM10,6h,ALL,119172
0.0602,4.8193,6.8405,120.54,7857,LinearRegression,Measured PM10,6h,Brick First Floor,119172
0.0201,4.873,7.6975,133.84,12787,LinearRegression,Measured PM10,6h,Brick Second Floor,119172
-0.0348,4.2818,6.018,125.07,16485,LinearRegression,Measured PM10,6h,Brick Single Story,119172
0.1038,3.7057,6.4989,98.63,16140,LinearRegression,Measured PM10,6h,Container No Insulation,119172
-0.0273,3.8187,5.8949,109.26,7555,LinearRegression,Measured PM10,6h,Container With Insulation,119172
-0.0418,3.8008,5.3137,159.64,20947,LinearRegression,Measured PM10,6h,Mobile/Prefab,119172
0.9373,0.4841,0.8952,1.94,83074,XGBoost,Measured T,11min,ALL,119253
0.5999,0.6754,1.1703,2.7,8081,XGBoost,Measured T,11min,Brick First Floor,119253
0.8865,0.4699,0.8254,1.86,13011,XGBoost,Measured T,11min,Brick Second Floor,119253
0.8518,0.4448,0.8282,1.78,16741,XGBoost,Measured T,11min,Brick Single Story,119253
0.9588,0.522,0.945,2.14,16396,XGBoost,Measured T,11min,Container No Insulation,119253
0.9342,0.5349,0.989,2.04,7683,XGBoost,Measured T,11min,Container With Insulation,119253
0.9622,0.4031,0.7837,1.62,21162,XGBoost,Measured T,11min,Mobile/Prefab,119253
0.8768,0.83,1.2539,3.36,82994,XGBoost,Measured T,33min,ALL,119249
0.6002,0.8834,1.1692,3.62,8067,XGBoost,Measured T,33min,Brick First Floor,119249
0.7639,0.8381,1.1892,3.33,12997,XGBoost,Measured T,33min,Brick Second Floor,119249
0.7956,0.7017,0.9713,2.83,16725,XGBoost,Measured T,33min,Brick Single Story,119249
0.9106,0.9052,1.3897,3.84,16380,XGBoost,Measured T,33min,Container No Insulation,119249
0.8276,1.0382,1.5984,4.01,7675,XGBoost,Measured T,33min,Container With Insulation,119249
0.9009,0.7724,1.2689,3.11,21150,XGBoost,Measured T,33min,Mobile/Prefab,119249
0.8432,1.0136,1.4124,4.2,82872,XGBoost,Measured T,1h,ALL,119243
0.5445,0.9839,1.2469,4.02,8046,XGBoost,Measured T,1h,Brick First Floor,119243
0.6892,1.0231,1.3622,4.08,12976,XGBoost,Measured T,1h,Brick Second Floor,119243
0.7201,0.8857,1.1348,3.59,16701,XGBoost,Measured T,1h,Brick Single Story,119243
0.8918,1.0893,1.5264,4.82,16356,XGBoost,Measured T,1h,Container No Insulation,119243
0.7658,1.2935,1.8583,5.09,7663,XGBoost,Measured T,1h,Container With Insulation,119243
0.8756,0.9601,1.4208,4.01,21130,XGBoost,Measured T,1h,Mobile/Prefab,119243
